smiles,assay_name,assay_value,toxicity_category,source
NCCNCCNCCNCCN,sider_hepatobiliary_disorders,1,hepatotoxicity,sider
NCCNCCNCCNCCN,sider_metabolism_and_nutrition_disorders,1,metabolic_toxicity,sider
NCCNCCNCCNCCN,sider_investigations,1,other_toxicity,sider
NCCNCCNCCNCCN,sider_musculoskeletal_and_connective_tissue_disorders,1,musculoskeletal_toxicity,sider
NCCNCCNCCNCCN,sider_gastrointestinal_disorders,1,gastrointestinal_toxicity,sider
NCCNCCNCCNCCN,sider_general_disorders_and_administration_site_conditions,1,acute_toxicity,sider
NCCNCCNCCNCCN,sider_skin_and_subcutaneous_tissue_disorders,1,dermal_toxicity,sider
NCCNCCNCCNCCN,sider_respiratory_thoracic_and_mediastinal_disorders,1,respiratory_toxicity,sider
NCCNCCNCCNCCN,sider_psychiatric_disorders,1,neurotoxicity,sider
NCCNCCNCCNCCN,sider_ear_and_labyrinth_disorders,1,sensory_toxicity,sider
NCCNCCNCCNCCN,sider_cardiac_disorders,1,cardiotoxicity,sider
NCCNCCNCCNCCN,sider_nervous_system_disorders,1,neurotoxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_metabolism_and_nutrition_disorders,1,metabolic_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_investigations,1,other_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_musculoskeletal_and_connective_tissue_disorders,1,musculoskeletal_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_gastrointestinal_disorders,1,gastrointestinal_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_reproductive_system_and_breast_disorders,1,reproductive_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_skin_and_subcutaneous_tissue_disorders,1,dermal_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_infections_and_infestations,1,other_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_respiratory_thoracic_and_mediastinal_disorders,1,respiratory_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_ear_and_labyrinth_disorders,1,sensory_toxicity,sider
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,sider_nervous_system_disorders,1,neurotoxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_metabolism_and_nutrition_disorders,1,metabolic_toxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_eye_disorders,1,ocular_toxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_investigations,1,other_toxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_gastrointestinal_disorders,1,gastrointestinal_toxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_immune_system_disorders,1,immunotoxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_reproductive_system_and_breast_disorders,1,reproductive_toxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_neoplasms_benign_malignant_and_unspecified_(incl_cysts_and_polyps),1,carcinogenicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_vascular_disorders,1,cardiotoxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_skin_and_subcutaneous_tissue_disorders,1,dermal_toxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_psychiatric_disorders,1,neurotoxicity,sider
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,sider_nervous_system_disorders,1,neurotoxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_hepatobiliary_disorders,1,hepatotoxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_metabolism_and_nutrition_disorders,1,metabolic_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_eye_disorders,1,ocular_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_investigations,1,other_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_musculoskeletal_and_connective_tissue_disorders,1,musculoskeletal_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_gastrointestinal_disorders,1,gastrointestinal_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_immune_system_disorders,1,immunotoxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_reproductive_system_and_breast_disorders,1,reproductive_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_neoplasms_benign_malignant_and_unspecified_(incl_cysts_and_polyps),1,carcinogenicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_general_disorders_and_administration_site_conditions,1,acute_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_surgical_and_medical_procedures,1,other_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_vascular_disorders,1,cardiotoxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_skin_and_subcutaneous_tissue_disorders,1,dermal_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_congenital_familial_and_genetic_disorders,1,carcinogenicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_infections_and_infestations,1,other_toxicity,sider
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,sider_respiratory_thoracic_and_mediastinal_disorders,1,respiratory_toxicity,sider
